,Business title,zip,AM early,AM peak,Mid-day,PM peak,PM late,Type of Place,lat,lon,Total Score
758,la esquinita mexican food,92113,3,25,20,18,5,Only Food,32.688767600000006,-117.10381070000001,70
759,subway,92114-3544,3,25,20,18,5,Only Food,32.7085718,-117.086656,70
760,ramaki,92101-5203,7,28,25,35,25,Food & Drinks,32.7172361,-117.15897279999999,119
761,the venetian rest inc,92106-1253,7,28,25,35,25,Food & Drinks,32.739568199999994,-117.2285152,119
762,rb sushi 3 inc,92103-3191,27,6,3,27,30,Only Drinks,32.7490553,-117.16018580000001,93
763,rustic root / don chido,92101-6913,27,6,3,27,30,Only Drinks,32.710985,-117.15983440000001,93
764,stockpot baked goods,92131-6147,3,25,20,18,5,Only Food,32.9333528,-117.1035097,70
765,khan's cave grill & tavern,92123-1221,7,28,25,35,25,Food & Drinks,32.832464,-117.12729250000001,119
766,adrians cafe,92123-1506,3,25,20,18,5,Only Food,32.8222352,-117.1363581,70
767,rubicon deli,92037-9121,3,25,20,18,5,Only Food,32.8722033,-117.2175798,70
768,arasi us inc,92111-1124,3,25,20,18,5,Only Food,32.8336074,-117.16080840000001,70
769,green china grill corporation,92111-2316,7,28,25,35,25,Food & Drinks,32.8263117,-117.1552261,119
770,kona ice central north county sd,92129-1025,3,25,20,18,5,Only Food,32.9929474,-117.09285859999999,70
771,cafe japengo,92122-1085,7,28,25,35,25,Food & Drinks,32.8707347,-117.2241011,119
772,symphony bistro,92101-8124,3,25,20,18,5,Only Food,32.71837,-117.15781670000001,70
773,city pizzeria,92101-4306,3,25,20,18,5,Only Food,32.7176631,-117.1585518,70
774,new maxims palace chinese restaurant,92104-1298,7,28,25,35,25,Food & Drinks,32.755779100000005,-117.133467,119
775,carnitas snack shack iii,92101,3,25,20,18,5,Only Food,32.716460600000005,-117.1730524,70
776,the greek cafe,92121-4720,7,28,25,35,25,Food & Drinks,32.8933293,-117.2038493,119
777,the lot,92037-4836,7,28,25,35,25,Food & Drinks,32.8423271,-117.27406950000001,119
778,gami sushi and catering,92130-3311,3,25,20,18,5,Only Food,32.9386053,-117.23254650000001,70
779,mission bell deli,92108-4018,3,25,20,18,5,Only Food,32.7770607,-117.11771909999999,70
780,menyu ramen taphouse,92109-2727,7,28,25,35,25,Food & Drinks,32.7964711,-117.2547027,119
781,vidajuice llc,92116-2505,3,25,20,18,5,Only Food,32.7630155,-117.10790659999999,70
782,c s deli,92131-1065,3,25,20,18,5,Only Food,32.916388500000004,-117.1125004,70
783,raspados la movida,92154-4604,3,25,20,18,5,Only Food,32.5743999,-117.0667875,70
784,the barn inc,92104-1389,27,6,3,27,30,Only Drinks,32.755586,-117.13238059999999,93
785,taco street,92123-5305,3,25,20,18,5,Only Food,32.8284352,-117.12562240000001,70
786,yard house #8363,92108-1521,7,28,25,35,25,Food & Drinks,32.7659127,-117.1557736,119
787,rice n roll,92126-4533,7,28,25,35,25,Food & Drinks,32.894231899999994,-117.1230923,119
788,nara sushi,92101-6121,27,6,3,27,30,Only Drinks,32.7144565,-117.1608767,93
789,seaside pho grill,92106-3007,3,25,20,18,5,Only Food,32.7203577,-117.23254850000001,70
790,tasty noodle house,92111-2315,7,28,25,35,25,Food & Drinks,32.8249132,-117.1557172,119
791,cecilia's taqueria,92106-6163,3,25,20,18,5,Only Food,32.740154499999996,-117.2111952,70
792,nyc caramel nuts,92102-4026,3,25,20,18,5,Only Food,32.7065827,-117.1333253,70
793,chinese kitchen,92115-5719,7,28,25,35,25,Food & Drinks,32.753436199999996,-117.0633904,119
794,paradiso fruit,92114-4214,3,25,20,18,5,Only Food,32.7095619,-117.06365819999999,70
795,el rodeo restaurant and taco shop,92120-2705,3,25,20,18,5,Only Food,32.7909621,-117.0810685,70
796,flavors of mayura,92110-5134,7,28,25,35,25,Food & Drinks,32.7555731,-117.21622260000001,119
797,sabor a ti cafe,92113-2203,3,25,20,18,5,Only Food,32.6980571,-117.13960220000001,70
798,flourishing age inc,92123-6408,7,28,25,35,25,Food & Drinks,32.8259313,-117.13945749999999,119
799,carls jr 197,92173-1827,3,25,20,18,5,Only Food,32.5585975,-117.0595061,70
800,carl's jr #288,92123-1213,3,25,20,18,5,Only Food,32.8310804,-117.12764399999999,70
801,carl's jr 652,92154-8402,3,25,20,18,5,Only Food,32.5826914,-117.03300549999999,70
802,carl's jr #332,92110-4223,7,28,25,35,25,Food & Drinks,32.7484619,-117.2047972,119
803,carl's jr #405,92110-2610,7,28,25,35,25,Food & Drinks,32.7652211,-117.1978527,119
804,carl's jr #423,92119-2106,3,25,20,18,5,Only Food,32.8032299,-117.0072976,70
805,carl's jr 147,92126-4503,3,25,20,18,5,Only Food,32.892811800000004,-117.1186072,70
806,carl's jr #412,92108-1301,7,28,25,35,25,Food & Drinks,32.7710702,-117.15439679999999,119
807,carl's jr #613,92115-6304,3,25,20,18,5,Only Food,32.7498972,-117.07054779999999,70
808,carl's jr 157,92120-2307,3,25,20,18,5,Only Food,32.7925806,-117.0979953,70
809,carl's jr #491,92111-3721,7,28,25,35,25,Food & Drinks,32.8133373,-117.15226229999999,119
810,carl's jr 267,92131-1103,3,25,20,18,5,Only Food,32.9029758,-117.11530069999999,70
811,carl's jr #168,92104-1316,3,25,20,18,5,Only Food,32.7557527,-117.1299305,70
812,carl's jr #610,92111-1502,7,28,25,35,25,Food & Drinks,32.833077100000004,-117.1589398,119
813,carl's jr #331,92110-1039,3,25,20,18,5,Only Food,32.793822600000006,-117.19331480000001,70
814,lumpia city,92126-5594,3,25,20,18,5,Only Food,32.927238,-117.12382959999998,70
815,chick-fil-a at mira mesa,92126-2305,3,25,20,18,5,Only Food,32.914115100000004,-117.14429409999998,70
816,cotija taco shop,92129-4473,3,25,20,18,5,Only Food,32.963672100000004,-117.15082659999999,70
817,taco picasso llc,92021-3621,3,25,20,18,5,Only Food,32.8202321,-116.9231466,70
818,galaxy taco,92037-3221,3,25,20,18,5,Only Food,32.853681699999996,-117.25411310000001,70
819,urbane cafe,92121-6304,27,6,3,27,30,Only Drinks,32.9070368,-117.17233590000002,93
820,chon ju jip,92111-3705,27,6,3,27,30,Only Drinks,32.819743599999995,-117.1548563,93
821,culinart,92130-1368,3,25,20,18,5,Only Food,32.959656,-117.20146899999999,70
822,tokyo deli usa holdings inc,92101-6420,3,25,20,18,5,Only Food,32.7124428,-117.15688490000002,70
823,doan's,91950-6224,3,25,20,18,5,Only Food,32.6692295,-117.0704382,70
824,cucina enoteca del mar,92014-1906,7,28,25,35,25,Food & Drinks,32.9810598,-117.24916699999999,119
825,blackmarket bakery sd,92116-3247,3,25,20,18,5,Only Food,32.762642,-117.130412,70
826,lucha libre gourmet taco shop 2,92104-3002,7,28,25,35,25,Food & Drinks,32.748695899999994,-117.1297798,119
827,crazy goose bar & lounge,92101-7026,7,28,25,35,25,Food & Drinks,32.713242699999995,-117.1589615,119
828,dos palmas cafe,92116-2403,3,25,20,18,5,Only Food,32.763490399999995,-117.1159278,70
829,starbucks #24716,92130-2408,27,6,3,27,30,Only Drinks,32.961671,-117.189898,93
830,lemonade,92122-1241,3,25,20,18,5,Only Food,32.8712569,-117.2097355,70
831,lemonade,92103-3112,3,25,20,18,5,Only Food,32.749330699999994,-117.1606348,70
832,taste of lebanon new,92121-2638,3,25,20,18,5,Only Food,32.8789964,-117.1688463,70
833,papas & tacos mexican food,92101-2001,3,25,20,18,5,Only Food,32.7288483,-117.1636856,70
834,dumpling hut,92111-1615,3,25,20,18,5,Only Food,32.8334123,-117.1494665,70
835,village cafe,92108-2183,7,28,25,35,25,Food & Drinks,32.7850751,-117.111624,119
836,almaz restaurant,92121-1529,7,28,25,35,25,Food & Drinks,32.9019353,-117.22558149999999,119
837,the grand,92101-6914,7,28,25,35,25,Food & Drinks,32.710922499999995,-117.16042240000002,119
838,rolbertos taco shop,92105-1168,3,25,20,18,5,Only Food,32.7555221,-117.10747820000002,70
839,cafe gratitude san diego llc,92101-2252,7,28,25,35,25,Food & Drinks,32.7247484,-117.1699327,119
840,porkyland,92130-6630,7,28,25,35,25,Food & Drinks,32.9208011,-117.21445039999999,119
841,mangos grill,92114-5018,7,28,25,35,25,Food & Drinks,32.7161003,-117.02633770000001,119
842,i scream u scream,91950-3228,3,25,20,18,5,Only Food,32.6725858,-117.1099456,70
843,pita pit,92110-2646,3,25,20,18,5,Only Food,32.76477,-117.1965909,70
844,wetzel s pretzels,92173-3049,3,25,20,18,5,Only Food,32.5438314,-117.04084679999998,70
845,chefs cafe,92121-1109,3,25,20,18,5,Only Food,32.907396000000006,-117.24023840000001,70
846,el sazon de mama,92113-2419,3,25,20,18,5,Only Food,32.695640000000004,-117.130665,70
847,nishiki ramen,92111-3795,7,28,25,35,25,Food & Drinks,32.8196892,-117.15005570000001,119
848,burger king 5724,92173-1841,3,25,20,18,5,Only Food,32.5604424,-117.0629172,70
849,burger king 4331,92105-1419,3,25,20,18,5,Only Food,32.7499619,-117.1061781,70
850,la chula pizza,92154-1683,3,25,20,18,5,Only Food,32.5832196,-117.06085220000001,70
851,mystic mocha llc,92116-2834,3,25,20,18,5,Only Food,32.7593463,-117.1423382,70
852,pirate sno balls / pirate nola's sno balls,92109-3925,3,25,20,18,5,Only Food,32.795264,-117.256025,70
853,mr joeys taco shop,92102-4251,3,25,20,18,5,Only Food,32.7096608,-117.12347679999999,70
854,the clutch bar,92110-1550,27,6,3,27,30,Only Drinks,32.7722384,-117.20192720000001,93
855,top 10 oriental restaurant,92115-3927,7,28,25,35,25,Food & Drinks,32.7616842,-117.06458390000002,119
856,sl hawaii inc,92122-5609,7,28,25,35,25,Food & Drinks,32.8678464,-117.20614979999999,119
857,wienerschnitzel #032,92106-1969,3,25,20,18,5,Only Food,32.7306842,-117.2243853,70
858,ka prao thai cuisine,92108-5597,27,6,3,27,30,Only Drinks,32.7756418,-117.14556599999999,93
859,waba grill el cajon,92115-2600,7,28,25,35,25,Food & Drinks,32.7639803,-117.06183429999999,119
860,gourmet express cafe,92123-4455,7,28,25,35,25,Food & Drinks,32.808496999999996,-117.1163998,119
861,baked bear llc the,92109-2792,27,6,3,27,30,Only Drinks,32.7967676,-117.25596359999999,93
862,salt and lime sd,92117-3660,3,25,20,18,5,Only Food,32.8243043,-117.2271652,70
863,fig tree liberty inc,92106-6158,27,6,3,27,30,Only Drinks,32.735467699999994,-117.2160104,93
864,cocina 35,92101-3204,7,28,25,35,25,Food & Drinks,32.7202783,-117.1591211,119
865,tacowaco,91978-7165,3,25,20,18,5,Only Food,32.7276235,-116.96350290000001,70
866,yogurt heaven ii,92154-2045,3,25,20,18,5,Only Food,32.5770193,-117.0942371,70
867,iron fist brewing company,92113-2164,27,6,3,27,30,Only Drinks,32.7000948,-117.14462040000001,93
868,jiffy joe coffee,92127,3,25,20,18,5,Only Food,33.0223697,-117.1153885,70
869,lj crafted wines,92037-7524,27,6,3,27,30,Only Drinks,32.814358299999995,-117.2695851,93
870,tang ice cream,91950-6224,3,25,20,18,5,Only Food,32.6692295,-117.0704382,70
871,indochine concept llc,92101-6911,27,6,3,27,30,Only Drinks,32.7102629,-117.1598356,93
872,the baked bear,92128-4628,3,25,20,18,5,Only Food,32.9811156,-117.0818084,70
873,the barbecue pit,92104-2930,7,28,25,35,25,Food & Drinks,32.7486934,-117.13179720000001,119
874,pauly's pizza joint inc,92121-2637,27,6,3,27,30,Only Drinks,32.8789964,-117.1688463,93
875,seaside buffet corp,92126-4401,7,28,25,35,25,Food & Drinks,32.8953526,-117.1322524,119
876,jack in the box,92113-2436,3,25,20,18,5,Only Food,32.696162699999995,-117.1320192,70
877,mongolian hot pot,92117-2006,27,6,3,27,30,Only Drinks,32.835444,-117.1892311,93
878,wood ranch bbq and grill,92108-4523,7,28,25,35,25,Food & Drinks,32.770784899999995,-117.15916999999999,119
879,zpizza,92131-1265,3,25,20,18,5,Only Food,32.9030189,-117.099923,70
880,samba brazilian cuisine,92101-5517,3,25,20,18,5,Only Food,32.7165257,-117.15714879999999,70
881,micheline's pita house,92037-1414,7,28,25,35,25,Food & Drinks,32.873273499999996,-117.21755959999999,119
882,the local,92101-4802,7,28,25,35,25,Food & Drinks,32.716509,-117.1608185,119
883,bolt brewery,92101-2214,27,6,3,27,30,Only Drinks,32.725313899999996,-117.1686635,93
884,delish dogs llc,92126-1635,3,25,20,18,5,Only Food,32.9294285,-117.14064240000002,70
885,tea group llc,92111-1601,3,25,20,18,5,Only Food,32.8305548,-117.1528158,70
886,cafe brio,92123-1151,27,6,3,27,30,Only Drinks,32.833569399999995,-117.1368314,93
887,thai papaya by sab-e-lee,92111-6026,3,25,20,18,5,Only Food,32.7868976,-117.17062539999999,70
888,a s pizza & grill,92101-5516,7,28,25,35,25,Food & Drinks,32.7159428,-117.1553737,119
889,un mundo mexican grill,92037-9138,7,28,25,35,25,Food & Drinks,32.873273499999996,-117.21755959999999,119
890,taco fiesta #6,92105-2111,3,25,20,18,5,Only Food,32.7497169,-117.0882179,70
891,nite owl cocktail lounge,92109-3821,27,6,3,27,30,Only Drinks,32.806169,-117.21972099999999,93
892,montesanto restaurant,92110-2801,7,28,25,35,25,Food & Drinks,32.7516916,-117.1938581,119
893,biriyani factory,92126-4518,7,28,25,35,25,Food & Drinks,32.895344,-117.12413400000001,119
894,peet's coffee & tea,92128-2538,3,25,20,18,5,Only Food,33.0211987,-117.0735283,70
895,come on in cafe,92093-1503,3,25,20,18,5,Only Food,32.8782951,-117.22288799999998,70
896,tio leos mexican restaurant,92110-2613,7,28,25,35,25,Food & Drinks,32.766069699999996,-117.1978813,119
897,twisted sushi,92117-2308,7,28,25,35,25,Food & Drinks,32.8339262,-117.17397530000001,119
898,tassbros inc,92110-4919,27,6,3,27,30,Only Drinks,32.755304100000004,-117.2122211,93
899,civico 1845,92101-2519,7,28,25,35,25,Food & Drinks,32.7242904,-117.1683504,119
900,brissa,92102-4002,3,25,20,18,5,Only Food,32.7065254,-117.1363723,70
901,original sushi hut,92126-2626,7,28,25,35,25,Food & Drinks,32.9147132,-117.14672150000001,119
902,chon ju jip,92111-3705,27,6,3,27,30,Only Drinks,32.819743599999995,-117.1548563,93
903,juice wave llc,92109,3,25,20,18,5,Only Food,32.783296500000006,-117.25249879999998,70
904,broken yolk cafe,92014-3110,7,28,25,35,25,Food & Drinks,32.9508705,-117.24599939999999,119
905,little korea,92037-4161,7,28,25,35,25,Food & Drinks,32.848207,-117.27452029999999,119
906,mangos fruit bar,92101-3108,3,25,20,18,5,Only Food,32.722149,-117.15962240000002,70
907,zgara greek grill,92109-3350,3,25,20,18,5,Only Food,32.8004108,-117.23846040000001,70
908,bayons ice cream,92154-4142,3,25,20,18,5,Only Food,32.564057,-117.08700900000001,70
909,bossa restaurant,92024-1453,3,25,20,18,5,Only Food,33.071525,-117.30527,70
910,mariscos el trebol,92109-3596,7,28,25,35,25,Food & Drinks,32.8011793,-117.2330946,119
911,cdd tofu grill,92111-1557,3,25,20,18,5,Only Food,32.8314173,-117.1550676,70
912,red house pizza boutique,92116-2630,27,6,3,27,30,Only Drinks,32.761323,-117.1460199,93
913,san diego sportservice inc,92108-1718,27,6,3,27,30,Only Drinks,32.784220399999995,-117.1198895,93
914,weiner buddies,92110-5718,3,25,20,18,5,Only Food,32.7513954,-117.2259932,70
915,mission hills coffee company inc,92103-1820,3,25,20,18,5,Only Food,32.7502359,-117.17120120000001,70
916,soul cal pit stop,92102-4709,3,25,20,18,5,Only Food,32.7110619,-117.0948143,70
917,pholicious,92122-1241,7,28,25,35,25,Food & Drinks,32.8712569,-117.2097355,119
918,which wich superior sandwiches of carmel mountian,92128-4636,3,25,20,18,5,Only Food,32.980698499999995,-117.07884840000001,70
919,tabletop commons,92103-3311,7,28,25,35,25,Food & Drinks,32.748094699999996,-117.15193899999998,119
920,cold stone creamery,92126-2962,7,28,25,35,25,Food & Drinks,32.915430300000004,-117.12085590000001,119
921,bracero,92101-2421,7,28,25,35,25,Food & Drinks,32.72065,-117.1693471,119
922,blush ice bar,92101-7024,7,28,25,35,25,Food & Drinks,32.7112422,-117.1594938,119
923,starbucks coffee #24716,92130,3,25,20,18,5,Only Food,32.961671,-117.189898,70
924,water grill san diego,92101-7017,7,28,25,35,25,Food & Drinks,32.709209200000004,-117.1589065,119
925,tokyosan,92173-3049,3,25,20,18,5,Only Food,32.5438314,-117.04084679999998,70
926,cafe hue,92111-3748,3,25,20,18,5,Only Food,32.8141393,-117.1539653,70
927,liu chinese restaurant,92154-2046,3,25,20,18,5,Only Food,32.577871,-117.094489,70
928,donuts stop,92126-4822,3,25,20,18,5,Only Food,32.9189862,-117.12413049999999,70
929,sonic,92104-1202,3,25,20,18,5,Only Food,32.7549122,-117.13291570000001,70
930,kula revolving sushi bar,92111-2300,7,28,25,35,25,Food & Drinks,32.8239052,-117.15473590000002,119
931,la clochette du coin,92037-6156,3,25,20,18,5,Only Food,32.8311487,-117.2766987,70
932,los tapatios mexican food,92113-3729,3,25,20,18,5,Only Food,32.6928313,-117.1324429,70
933,zensational coffee and tea,92101-2927,3,25,20,18,5,Only Food,32.7212338,-117.16679140000001,70
934,michael w raile channel 2 sports bar,92123-2252,27,6,3,27,30,Only Drinks,32.8017336,-117.14016550000001,93
935,jersey mikes subs,92014-3149,3,25,20,18,5,Only Food,32.9512512,-117.2461303,70
936,finest thai,92021-5419,27,6,3,27,30,Only Drinks,32.808499,-116.95887809999999,93
937,sacred juice co,92102-1529,3,25,20,18,5,Only Food,32.7211244,-117.13072369999999,70
938,chipotle mexican grill #2370,92105-1784,3,25,20,18,5,Only Food,32.749421500000004,-117.0995382,70
939,luna grill,92131-3922,27,6,3,27,30,Only Drinks,32.9356943,-117.09976100000002,93
940,eureka! utc,92122-1259,7,28,25,35,25,Food & Drinks,32.8729501,-117.2121703,119
941,oceans pizzeria & bakery,92109-5052,3,25,20,18,5,Only Food,32.791319699999995,-117.25444180000001,70
942,which wich superior sandwichs,92122-5610,3,25,20,18,5,Only Food,32.8678464,-117.20614979999999,70
943,quartyard,92101-7420,27,6,3,27,30,Only Drinks,32.7119183,-117.1543209,93
944,the den by dennys,92115-1317,7,28,25,35,25,Food & Drinks,32.7728091,-117.07104340000001,119
945,panchita s kitchen bakery,92104-3704,3,25,20,18,5,Only Food,32.747548800000004,-117.1248415,70
946,otay pizza & mexican grill inc,92154-7253,3,25,20,18,5,Only Food,32.55286160000001,-116.93834550000001,70
947,seasalt del mar,92014-3703,7,28,25,35,25,Food & Drinks,32.933491700000005,-117.253534,119
948,trinh food company inc,92127-3707,7,28,25,35,25,Food & Drinks,33.00665,-117.1054145,119
949,sd observatory west coast tavern,92104-2929,7,28,25,35,25,Food & Drinks,32.7481795,-117.1312996,119
950,mystery cafe dinner theater,92101-1629,3,25,20,18,5,Only Food,32.7301205,-117.15979909999999,70
951,fish district,92128-4648,3,25,20,18,5,Only Food,32.983493599999996,-117.0765491,70
952,algo bien tortas y botanas,92113-1239,3,25,20,18,5,Only Food,32.704459899999996,-117.1384257,70
953,un mundo,92037-9138,7,28,25,35,25,Food & Drinks,32.873273499999996,-117.21755959999999,119
954,amorcito corazon,92104-4118,3,25,20,18,5,Only Food,32.741926,-117.1302675,70
955,wei wei asian express,92115-5808,3,25,20,18,5,Only Food,32.754527,-117.0565132,70
956,subway #4462,92108-4338,3,25,20,18,5,Only Food,32.77487,-117.1559379,70
957,subway #27500,92108,3,25,20,18,5,Only Food,32.771059,-117.14203300000001,70
958,cafe by the bay,92109-6700,3,25,20,18,5,Only Food,32.783098800000005,-117.23675800000001,70
959,kassiannas the living room,92101-7416,3,25,20,18,5,Only Food,32.7088714,-117.15424440000001,70
960,tim ky noodle,92126-4822,7,28,25,35,25,Food & Drinks,32.9189862,-117.12413049999999,119
961,donatos taco shop,92121-2638,3,25,20,18,5,Only Food,32.8789964,-117.1688463,70
962,smashburger #1487,92037-4146,3,25,20,18,5,Only Food,32.8476345,-117.2750196,70
963,cafe figaro,92101-3825,3,25,20,18,5,Only Food,32.7161675,-117.1660509,70
964,szechuan taste,92111-1712,7,28,25,35,25,Food & Drinks,32.8322319,-117.1470856,119
965,levy restaurants at valley view casino center,92110-4919,3,25,20,18,5,Only Food,32.753783500000004,-117.21186189999999,70
966,half door brewing co,92101-7227,3,25,20,18,5,Only Food,32.7102641,-117.15627109999998,70
967,backyard kitchen & tap,92109-2726,7,28,25,35,25,Food & Drinks,32.7969542,-117.2548122,119
968,cotijas mexican grill,92102-2929,7,28,25,35,25,Food & Drinks,32.711307500000004,-117.14263009999999,119
969,place subway ss inc,92064-8864,3,25,20,18,5,Only Food,32.938759399999995,-117.0298201,70
970,cotixan mexican food,92123-2272,3,25,20,18,5,Only Food,32.802291100000005,-117.13980749999999,70
971,park and rec,92116-2629,27,6,3,27,30,Only Drinks,32.7613457,-117.146404,93
972,navajo live,92119-2001,27,6,3,27,30,Only Drinks,32.802996500000006,-117.01291259999999,93
973,subway 3871,92154-1012,3,25,20,18,5,Only Food,32.5830228,-117.10033200000001,70
974,cloud 9 yogurt house,92123-4361,3,25,20,18,5,Only Food,32.8314446,-117.1209243,70
975,dickeys bbq pit,92111-2732,3,25,20,18,5,Only Food,32.8206408,-117.179873,70
976,ramen yamadaya,92101-5231,7,28,25,35,25,Food & Drinks,32.7154762,-117.1595351,119
977,carlos pereztello & lucila santiagovelasco,92114-2531,27,6,3,27,30,Only Drinks,32.7176474,-117.05870630000001,93
978,smashburger 1492,92106-6478,3,25,20,18,5,Only Food,32.7280808,-117.2176932,70
979,smashburger #1489,92101-6424,3,25,20,18,5,Only Food,32.7113048,-117.157059,70
980,kettle & stone coffee and tea,92103-1222,3,25,20,18,5,Only Food,32.751758,-117.1782142,70
981,smashburger #1490,92123-4454,3,25,20,18,5,Only Food,32.8096044,-117.1153906,70
982,smashburger #1491,92115-3845,3,25,20,18,5,Only Food,32.7604741,-117.0674006,70
983,smashburger #1488,92108-4534,3,25,20,18,5,Only Food,32.771044399999994,-117.1579787,70
984,yummy lin inc,92123-1231,3,25,20,18,5,Only Food,32.8306952,-117.12778780000001,70
985,fresh and fit meals,91950-3536,7,28,25,35,25,Food & Drinks,32.6740338,-117.09688510000001,119
986,american flavors,92021-3621,3,25,20,18,5,Only Food,32.8202321,-116.9231466,70
987,swamis cafe,92104-2934,7,28,25,35,25,Food & Drinks,32.7487213,-117.1308844,119
988,vino urbano,92154-7530,27,6,3,27,30,Only Drinks,32.561882000000004,-116.99316999999999,93
989,happy bean cafe,92037-1002,3,25,20,18,5,Only Food,32.887046999999995,-117.24478500000001,70
990,pizzarev,92129-5185,3,25,20,18,5,Only Food,32.9619857,-117.15481229999999,70
991,tonys fresh mexican food,92121-2316,3,25,20,18,5,Only Food,32.8798825,-117.16050690000002,70
992,elixir espresso & wine bar,92037-4227,3,25,20,18,5,Only Food,32.8464767,-117.2740395,70
993,edo sushi,92122-5542,7,28,25,35,25,Food & Drinks,32.867327100000004,-117.2063622,119
994,yogurtland genesee plaza,92111-2719,3,25,20,18,5,Only Food,32.8204876,-117.17890870000001,70
995,manna bbq,92126-2602,7,28,25,35,25,Food & Drinks,32.9129847,-117.147671,119
996,karma concessions,92116,3,25,20,18,5,Only Food,32.760839000000004,-117.1399967,70
997,royal india -  miramar,92126-4433,7,28,25,35,25,Food & Drinks,32.8953877,-117.132369,119
998,bluemuny corporation,92121-4743,3,25,20,18,5,Only Food,32.8933293,-117.2038493,70
999,wa dining okan,92111-3748,3,25,20,18,5,Only Food,32.8141393,-117.1539653,70
1000,little italy pizzaria and pasta,92110-2059,3,25,20,18,5,Only Food,32.7441896,-117.1913574,70
1001,nine seas seafood,91910-1934,3,25,20,18,5,Only Food,32.6530127,-117.0729084,70
1002,tacos el unico,91911-5105,3,25,20,18,5,Only Food,32.59868839999999,-117.0596397,70
1003,m winehouse,92101-2203,27,6,3,27,30,Only Drinks,32.7244277,-117.16905259999999,93
1004,cafe dore,92105-1418,7,28,25,35,25,Food & Drinks,32.7491735,-117.10620060000001,119
1005,fish town,92111-3705,7,28,25,35,25,Food & Drinks,32.819699,-117.15485259999998,119
1006,teya holdings inc,92093-5004,3,25,20,18,5,Only Food,32.8824069,-117.23481720000001,70
1007,asia cafe,92102-4716,7,28,25,35,25,Food & Drinks,32.7120416,-117.0930969,119
1008,erbisti inc,92109-4006,7,28,25,35,25,Food & Drinks,32.7942915,-117.25112340000001,119
1009,starbucks coffee #23916,92101-6908,27,6,3,27,30,Only Drinks,32.7078079,-117.15965159999999,93
1010,panda express  2431,92173,3,25,20,18,5,Only Food,32.543487899999995,-117.0380325,70
1011,the place la jolla,92037-1348,3,25,20,18,5,Only Food,32.8756101,-117.21500390000001,70
1012,beckies coffee cart,92121,3,25,20,18,5,Only Food,32.8957228,-117.2424389,70
1013,new york buffalo wings and ribs,92104-1205,3,25,20,18,5,Only Food,32.7557011,-117.1308294,70
1014,the exxiy pop shoppe,92129-2813,3,25,20,18,5,Only Food,32.9596058,-117.1133936,70
1015,alberto's mexican food,92154-3171,3,25,20,18,5,Only Food,32.5732956,-117.0844656,70
1016,cheba hut,92109-2735,3,25,20,18,5,Only Food,32.7986584,-117.25590290000001,70
1017,meze greek fusion,92101-7005,7,28,25,35,25,Food & Drinks,32.7089325,-117.1589057,119
1018,hola che cocina argentina,92109-2905,3,25,20,18,5,Only Food,32.79811,-117.2492815,70
1019,la morena taco shop,92102-2652,3,25,20,18,5,Only Food,32.7210524,-117.0862703,70
1020,times square pizza & bagels,92121-4743,3,25,20,18,5,Only Food,32.8933293,-117.2038493,70
1021,da nang food togo,92115-4508,7,28,25,35,25,Food & Drinks,32.755662,-117.09252520000001,119
1022,hot dog on a stick,92108-5146,3,25,20,18,5,Only Food,32.768142,-117.1698284,70
1023,85c bakery cafe,92111-2737,3,25,20,18,5,Only Food,32.819561,-117.1804827,70
1024,boto sushi by sushiya,92128-4609,7,28,25,35,25,Food & Drinks,32.9798444,-117.0771364,119
1025,pho hoang express,92128-2523,7,28,25,35,25,Food & Drinks,33.012078100000004,-117.0783715,119
1026,shabu shabu house,92111-2315,7,28,25,35,25,Food & Drinks,32.8249132,-117.1557172,119
1027,juice crafters,92037-4237,3,25,20,18,5,Only Food,32.844864,-117.27434380000001,70
1028,juice crafters,92103-3115,3,25,20,18,5,Only Food,32.7481334,-117.16144270000001,70
1029,juice crafters,92101-2518,3,25,20,18,5,Only Food,32.7235376,-117.1685919,70
1030,wich addiction,92121-3939,3,25,20,18,5,Only Food,32.9060882,-117.17793640000001,70
1031,asia wok,92113-2163,7,28,25,35,25,Food & Drinks,32.6990951,-117.1460615,119
1032,la palapa nayarit,92154-1152,7,28,25,35,25,Food & Drinks,32.5833722,-117.0937515,119
1033,coffee bean & tea leaf #346,92173-3035,3,25,20,18,5,Only Food,32.543487899999995,-117.0380325,70
1034,mr spicy,92120-2309,7,28,25,35,25,Food & Drinks,32.7935055,-117.0983088,119
1035,legacy brewing tap and kitchen,92121-2314,27,6,3,27,30,Only Drinks,32.8793454,-117.1637115,93
1036,kettner exchange,92101-1750,7,28,25,35,25,Food & Drinks,32.7253821,-117.16977079999998,119
1037,sundiegocafe,92114-3424,3,25,20,18,5,Only Food,32.717664,-117.029315,70
1038,love and pride enterprises inc,92130-2237,27,6,3,27,30,Only Drinks,32.926728000000004,-117.2372527,93
1039,wok in express,92110-3846,3,25,20,18,5,Only Food,32.7686411,-117.2004862,70
1040,leilani's cafe,92109-1812,3,25,20,18,5,Only Food,32.8079739,-117.2548013,70
1041,red lobster #0519,92110-5136,7,28,25,35,25,Food & Drinks,32.7548844,-117.2167406,119
1042,pho 46,92126-4533,7,28,25,35,25,Food & Drinks,32.8938819,-117.12305970000001,119
1043,ob warehouse,92107-3110,7,28,25,35,25,Food & Drinks,32.744946999999996,-117.248433,119
